name,price,profit,ratio
Share-LKSD,0.12,9.14,76.17
Share-DYVD,0.28,10.25,36.61
Share-JMLZ,1.27,24.71,19.46
Share-JWDZ,2.09,32.2,15.41
Share-ZLMC,2.47,31.45,12.73
Share-OCKK,3.16,36.39,11.52
Share-LXZU,4.24,39.54,9.33
Share-FUGM,1.94,16.83,8.68
Share-BBNF,3.29,28.48,8.66
Share-DSOO,1.49,12.11,8.13
Share-BMHD,4.85,38.29,7.89
Share-FFZA,4.57,34.5,7.55
Share-MEQV,5.49,38.27,6.97
Share-GEBJ,5.87,37.95,6.47
Share-SCWM,6.42,38.1,5.93
Share-FAKH,7.65,38.46,5.03
Share-KOVS,3.3,15.43,4.68
Share-DEPW,2.3,10.47,4.55
Share-KPBW,8.23,37.21,4.52
Share-CXYC,8.5,35.73,4.2
Share-VQQX,9.62,37.78,3.93
Share-BPPA,3.97,14.73,3.71
Share-GRVG,7.13,24.38,3.42
Share-DQXJ,7.64,25.63,3.35
Share-VVYP,11.07,36.92,3.34
Share-LAIC,8.57,28.37,3.31
Share-RBCS,9.4,30.1,3.2
Share-FCHD,12.39,38.28,3.09
Share-IWTG,11.75,35.05,2.98
Share-XQII,13.42,39.51,2.94
Share-FUDY,7.03,19.96,2.84
Share-LFXB,14.83,39.79,2.68
Share-ZGFP,11.69,31.0,2.65
Share-ROOM,15.06,39.23,2.6
Share-OWMP,9.43,23.39,2.48
Share-TGPO,14.38,35.25,2.45
Share-XYMR,14.49,35.3,2.44
Share-MZLD,14.98,36.62,2.44
Share-EOEN,11.96,27.67,2.31
Share-KRRA,15.28,34.9,2.28
Share-TQMM,10.7,24.3,2.27
Share-YIFQ,15.85,34.64,2.19
Share-FWBE,18.31,39.82,2.17
Share-OEYT,14.92,32.1,2.15
Share-JCWZ,3.86,8.13,2.11
Share-RWIW,8.93,18.65,2.09
Share-PILL,15.36,31.89,2.08
Share-GIXZ,17.23,35.66,2.07
Share-BIJV,18.05,37.44,2.07
Share-GYES,12.71,25.9,2.04
Share-PLLK,19.94,39.91,2.0
Share-TMRA,17.72,34.66,1.96
Share-ZKOZ,13.65,26.62,1.95
Share-DHIE,11.03,20.59,1.87
